REST_ID,URL,COORD1,COORD2
165,https://www.zomato.com/bhubaneswar/aangan-horizon-patia-bhubaneshwar/info,20.3429784256,85.8229107410
166,https://www.zomato.com/chandigarh/the-night-factory-chandigarh-industrial-area/info,30.7107604108,76.8054725602
167,https://www.zomato.com/chandigarh/veera-da-dhaba-phase-7-mohali/info,30.7384967168,76.7931675911
168,https://www.zomato.com/chandigarh/sector-7-social-1-sector-7/info,30.7302275298,76.8012631685
169,https://www.zomato.com/chandigarh/la-pinoz-pizza-1-sector-9/info,30.7480059520,76.7929567024
170,https://www.zomato.com/chandigarh/katani-dhaba-phase-3-mohali/info,30.7117373047,76.7197585478
171,https://www.zomato.com/chandigarh/bhena-da-dhaba-phase-5-mohali/info,30.7228400000,76.7120170000
172,https://www.zomato.com/chandigarh/chandigarh-flavours-sector-46/info,30.7097578520,76.7637890205
173,https://www.zomato.com/boathouse/info,30.7049475577,76.8012443930
174,https://www.zomato.com/chandigarh/moms-kitchen-sector-22/info,30.7309019098,76.7746466026
175,https://www.zomato.com/chandigarh/subway-phase-10-mohali/info,30.6872286628,76.7380042747
176,https://www.zomato.com/chandigarh/baba-chicken-1-phase-10-mohali/info,30.6879797494,76.7375848442
177,https://www.zomato.com/chandigarh/dominos-pizza-phase-5-mohali/info,30.7192716521,76.7129675299
178,https://www.zomato.com/dharamshala/bhagsu-fast-food-chilgari/info,32.2050508000,76.3239638000
179,https://www.zomato.com/chandigarh/foodu-chandigarh-industrial-area/info,30.6977283512,76.7867128551
180,https://www.zomato.com/chandigarh/pizza-galleria-sector-40/info,30.7348547193,76.7366252840
181,https://www.zomato.com/chandigarh/tossin-pizza-sector-35/info,30.7198509934,76.7573423311
182,https://www.zomato.com/chennai/dhaba-estd-1986-delhi-nungambakkam/info,13.0552126590,80.2496800572
183,https://www.zomato.com/chennai/copper-kitchen-porur/info,13.0364834679,80.1574388891
184,https://www.zomato.com/chennai/palmshore-ashok-nagar/info,13.0300940796,80.2093882486
185,https://www.zomato.com/chennai/guntur-gongura-sholinganallur/info,12.9016979033,80.2273992822
186,https://www.zomato.com/chennai/hoppipola-nungambakkam/info,13.0528509294,80.2483376116
187,https://www.zomato.com/chennai/jokers-kitchen-alwarpet/info,13.0364089951,80.2553529292
188,https://www.zomato.com/chennai/axpress-bbq-karapakkam/info,12.9184467810,80.2304130793
189,https://www.zomato.com/chennai/bhangra-kanathur/info,12.8476543000,80.2395005000
190,https://www.zomato.com/chennai/soy-soi-kotturpuram/info,13.0192368696,80.2412864193
191,https://www.zomato.com/chennai/big-bang-theory-bar-kitchen-kodambakkam/info,13.0468846120,80.2187749743
192,https://www.zomato.com/chennai/hotelkaar-biriyani-t-nagar/info,13.0365403024,80.2289428934
193,https://www.zomato.com/chennai/wild-garden-cafe-amethyst-royapettah/info,13.0570877209,80.2593658492
194,https://www.zomato.com/chennai/abs-absolute-barbecues-velachery/info,12.9817488900,80.2312585647
195,https://www.zomato.com/coimbatore/abitha-biriyani-hotel-ukkadam/info,10.9898026635,76.9632997736
196,https://www.zomato.com/coimbatore/the-chocolate-room-rs-puram/info,11.0060732928,76.9516445696
197,https://www.zomato.com/coimbatore/yugo-lakshmi-mills/info,11.0097632440,76.9886674359
198,https://www.zomato.com/chennai/arab-street-kodambakkam/info,13.0455154121,80.2183937654
199,https://www.zomato.com/chennai/savoury-sea-shell-anna-nagar-east/info,13.0876347566,80.2182579786
200,https://www.zomato.com/coimbatore/cock-ra-co-rs-puram/info,11.0107202806,76.9537001476
201,https://www.zomato.com/coimbatore/valarmathi-kongunaatu-samayal-race-course/info,11.0018744855,76.9760620594
202,https://www.zomato.com/coimbatore/the-french-door-cafe-restaurant-rs-puram/info,11.0136094720,76.9472313300
203,https://www.zomato.com/coimbatore/zucca-pizzeria-saravanampatty/info,11.0797733628,77.0024744421
204,https://www.zomato.com/coimbatore/dindigul-venu-biryani-1-lakshmi-mills/info,11.0135759037,76.9866846129
205,https://www.zomato.com/coimbatore/eleven-2-eleven-peelamedu/info,11.0378819698,77.0147887990
206,https://www.zomato.com/coimbatore/hotel-delhi-dharbarr-peelamedu/info,11.0259300957,77.0178807154
207,https://www.zomato.com/coimbatore/denmarrk-drive-inn-restaurant-1-nehru-stadium/info,11.0053717000,76.9700650000
208,https://www.zomato.com/coimbatore/pizza-hut-peelamedu/info,11.0246311857,77.0106105879
209,https://www.zomato.com/coimbatore/classsic-biriyani-hut-ukkadam/info,10.9877729269,76.9619868323
210,https://www.zomato.com/coimbatore/ammayi-veedu-pot-cook-gandhipuram/info,11.0192745000,76.9787613000
211,https://www.zomato.com/coimbatore/dominos-pizza-peelamedu/info,11.0244051017,77.0062416047
212,https://www.zomato.com/cuttack/blast-siba-bazaar/info,20.4681879662,85.8960076422
213,https://www.zomato.com/cuttack/new-mughlai-siba-bazaar/info,20.4686000000,85.8961000000
214,https://www.zomato.com/dehradun/chicago-br-karanpur/info,30.3285825000,78.0575768000
215,https://www.zomato.com/dharamshala/dominos-pizza-ram-nagar/info,32.2210030000,76.3197750000
216,https://www.zomato.com/food-safari-1-food-truck/info,32.1998600000,76.3209770000
217,https://www.zomato.com/cuttack/bawarchi-restaurant-siba-bazaar/info,20.4662680000,85.8959890000
218,https://www.zomato.com/cuttack/sher-e-punjab-sutahat/info,20.4668833794,85.8762770330
219,https://www.zomato.com/cuttack/faltu-restaurant-1-mal-godown-market/info,20.4671920000,85.8951613000
220,https://www.zomato.com/cuttack/the-cocktail-police-colony/info,20.4793656000,85.8584918000
221,https://www.zomato.com/cuttack/dominos-pizza-siba-bazaar/info,20.4683839701,85.8958943188
222,https://www.zomato.com/cuttack/the-chocolate-room-siba-bazaar/info,20.4669211595,85.8971767500
223,https://www.zomato.com/cuttack/dfc-dadas-biryani-buxi-bazaar/info,20.4795040000,85.8712070000
224,https://www.zomato.com/cuttack/hashims-cda-sector-6/info,20.4798793000,85.8331544000
225,https://www.zomato.com/cuttack/filmy-food-restaurant-cda-sector-6/info,20.4819260000,85.8172390000
226,https://www.zomato.com/cuttack/pizza-station-1-police-colony/info,20.4679900000,85.8692620000
227,https://www.zomato.com/cuttack/mirchi-buxi-bazaar/info,20.4759987152,85.8754407987
228,https://www.zomato.com/cuttack/dragon-inn-buxi-bazaar/info,20.4777419000,85.8650696000
229,https://www.zomato.com/cuttack/dexters-cda-sector-6/info,20.4774363120,85.8217929304
230,https://www.zomato.com/darjeeling/dominos-pizza-limbugaon/info,27.0395876595,88.2648719475
231,https://www.zomato.com/dehradun/doon-darbar-paltan-bazaar/info,30.3201067813,78.0404672027
232,https://www.zomato.com/dehradun/gaylord-xpress-paltan-bazaar/info,30.3240983328,78.0415578559
233,https://www.zomato.com/dehradun/mannu-fast-food-raipur/info,30.3198384918,78.0770662799
234,https://www.zomato.com/dehradun/walk-in-woods-chironwali/info,30.3462477351,78.0753054097
235,https://www.zomato.com/dehradun/burger-king-jakhan/info,30.3664690145,78.0701431632
236,https://www.zomato.com/dehradun/dominos-pizza-rajpur/info,30.3338660000,78.0514830000
237,https://www.zomato.com/dehradun/punjab-grill-jakhan/info,30.3601894232,78.0672094971
238,https://www.zomato.com/dehradun/the-great-indian-pub-jakhan/info,30.3617452558,78.0678421631
239,https://www.zomato.com/dehradun/black-pepper-restaurant-karanpur/info,30.3279131919,78.0463647097
240,https://www.zomato.com/dehradun/super-donuts-hathibarkala-salwala/info,30.3400425000,78.0600507813
241,https://www.zomato.com/dehradun/chilliz-dharampur/info,30.3044203073,78.0515054987
242,https://www.zomato.com/dehradun/mughal-darbar-paltan-bazaar/info,30.3184614345,78.0398405716
243,https://www.zomato.com/dehradun/town-table-restaurant-hathibarkala-salwala/info,30.3408297070,78.0602441356
244,https://www.zomato.com/dehradun/infamous-bistro-bar-jakhan/info,30.3689133956,78.0747418106
245,https://www.zomato.com/ncr/pomp-pizza-on-my-plate-greater-kailash-gk-1-new-delhi/info,28.5567790000,77.2365517000
246,https://www.zomato.com/ncr/shawarma-house-golf-course-road-gurgaon/info,28.4427341491,77.1011197194
247,https://www.zomato.com/ncr/qwinnys-dlf-phase-4-gurgaon/info,28.4698124587,77.0858029649
248,https://www.zomato.com/ncr/cake-sector-44-gurgaon/info,28.4874000000,77.1037900000
249,https://www.zomato.com/ncr/boa-village-civil-lines-new-delhi/info,28.6768190435,77.2250914201
250,https://www.zomato.com/ncr/gianis-greater-kailash-gk-2-new-delhi/info,28.5400340190,77.2402237728
251,https://www.zomato.com/ncr/the-burger-club-rajouri-garden-new-delhi/info,28.6462631544,77.1172069386
252,https://www.zomato.com/ncr/chilis-grill-bar-vasant-kunj-new-delhi/info,28.5408619523,77.1548296139
253,https://www.zomato.com/ncr/box8-desi-meals-sector-56-gurgaon/info,28.4285468313,77.0992150158
254,https://www.zomato.com/singlas/info,28.5742024343,77.0670633763
255,https://www.zomato.com/ncr/tossin-pizza-dlf-phase-4-gurgaon/info,28.4672090708,77.0816572756
256,https://www.zomato.com/ncr/nazeer-foods-sector-18-noida/info,28.5710174398,77.3251508921
257,https://www.zomato.com/CyberHubSocial/info,28.4953189000,77.0880753000
258,https://www.zomato.com/ncr/smoke-house-deli-connaught-place-new-delhi/info,28.5543590000,77.1939900000
259,https://www.zomato.com/ncr/the-flying-saucer-cafe-nehru-place-new-delhi/info,28.5514934402,77.2519373149
260,https://www.zomato.com/dharamshala/sher-e-punjab-kala-momo-shop-ram-nagar/info,32.2195175214,76.3187227026
261,https://www.zomato.com/dharamshala/food-plaza-restaurant-chilgari/info,32.2057550383,76.3227198645
262,https://www.zomato.com/dharamshala/melted-cheese-cafe-chilgari/info,32.2005967000,76.3211239000
263,https://www.zomato.com/dharamshala/surya-punjabi-vaishno-dhaba-ram-nagar/info,32.2187686889,76.3184212893
264,https://www.zomato.com/dharamshala/buttercup-restaurant-bar-chilgari/info,32.2085695000,76.3263676000
265,https://www.zomato.com/dharamshala/vinod-chat-bhandar-1-ram-nagar/info,32.2187598958,76.3184313476
266,https://www.zomato.com/dharamshala/dum-handi-ram-nagar/info,32.2137861000,76.3172137000
267,https://www.zomato.com/dharamshala/my-kitchen-bhutanese-restaurant-1-chilgari/info,32.2018944000,76.3439487000
268,https://www.zomato.com/dharamshala/krazy-hunger-ram-nagar/info,32.2186523924,76.3183042780
269,https://www.zomato.com/dharamshala/moti-mahal-delux-ram-nagar/info,32.2137919165,76.3172136247
270,https://www.zomato.com/dharamshala/mountain-pick-chilgari/info,32.2141298000,76.3170872000
271,https://www.zomato.com/dharamshala/roast-and-fry-chilgari/info,32.2032660000,76.3302210000
272,https://www.zomato.com/gangtok/the-dragon-wok-vishal-gaon/info,27.3293709351,88.6124983057
273,https://www.zomato.com/gangtok/nimtho-1-vishal-gaon/info,27.3264281057,88.6119870096
274,https://www.zomato.com/gangtok/dominos-vishal-gaon/info,27.3290239355,88.6119927093
275,https://www.zomato.com/gangtok/bonfire-vishal-gaon/info,27.6719016060,88.1033385918
276,https://www.zomato.com/gangtok/blue-restaurant-vishal-gaon/info,27.6719016060,88.1033385918
277,https://www.zomato.com/goa/copperleaf-penha-de-franca/info,15.5389441216,73.8184757531
278,https://www.zomato.com/goa/cafe-cotinga-anjuna/info,15.5887163333,73.7646206841
